country,city,year,methodology,concentration_pm10,concentration_pm25,sea_salt,dust,traffic,industry,biomass_burn,other_source,latitude,longitude,population,study_year,iso3,region,continent,reference_author,site_typology,season
India,Kolkata,2001,CMB,126.625,166.0,19.0,24.175,55.0,5.75,23.0,16.25,22.57308,88.36366,4573000.0,2011,IND,India,AS,ESMAP report4,residential,year
India,Mumbai,2001,CMB,126.625,55.0,19.0,24.175,50.6,2.5,22.0,24.90000000000001,19.01895,72.856869,11980000.0,2011,IND,India,AS,ESMAP report4,residential,year
India,Nagpur,2009,CMB,113.5,82.6,19.0,8.3,64.3,13.9025,11.0,16.400000000000006,21.154,79.088,2052000.0,2014,IND,India,AS,Pipalatkar40,urban,fall
India,Nagpur,2010,CMB,113.5,82.6,19.0,8.3,64.3,13.9025,11.0,16.400000000000006,21.154,79.088,2052000.0,2014,IND,India,AS,Pipalatkar40,urban,fall
Indonesia,Bandung,2001,PMF,,43.5,13.0,21.380000000000003,28.5,15.0,14.5,29.0,-6.9147444,107.610639,2395000.0,2009,IDN,South Eastern Asia,AS,Lestari74,urban,year
Indonesia,Bandung,2002,PMF,,43.5,13.0,21.380000000000003,28.5,15.0,14.5,29.0,-6.9147444,107.610639,2395000.0,2009,IDN,South Eastern Asia,AS,Lestari74,urban,year
Indonesia,Bandung,2003,PMF,,43.5,13.0,21.380000000000003,28.5,15.0,14.5,29.0,-6.9147444,107.610639,2395000.0,2009,IDN,South Eastern Asia,AS,Lestari74,urban,year
Indonesia,Bandung,2004,PMF,,43.5,13.0,21.380000000000003,28.5,15.0,14.5,29.0,-6.9147444,107.610639,2395000.0,2009,IDN,South Eastern Asia,AS,Lestari74,urban,year
Indonesia,Bandung,2005,PMF,,43.5,13.0,29.5,28.5,15.0,14.5,29.0,-6.9147444,107.610639,2395000.0,2009,IDN,South Eastern Asia,AS,Lestari74,urban,year
Indonesia,Bandung,2006,PMF,,43.5,13.0,21.380000000000003,28.5,15.0,14.5,29.0,-6.9147444,107.610639,2395000.0,2009,IDN,South Eastern Asia,AS,Lestari74,urban,year
Indonesia,Bandung,2007,PMF,,43.5,13.0,21.380000000000003,28.5,15.0,14.5,29.0,-6.9147444,107.610639,2395000.0,2009,IDN,South Eastern Asia,AS,Lestari74,urban,year
Indonesia,Belakang,2005,CMB,,91.75,13.0,18.4,25.0,2.7,51.0,2.9000000000000057,0.900644,102.414733,820243.0,2007,IDN,South Eastern Asia,AS,See79,rural,spring
Indonesia,Jakarta,2008,PMF,,30.0,13.0,9.2,52.4,7.5,30.9,0.0,-6.2068,106.84,9608000.0,2013,IDN,South Eastern Asia,AS,Santoso78,urban,year
