location_id,year,no2_pred
4,2023,25.345999999999997
4,2024,25.345999999999997
4,2025,25.345999999999997
4,2026,25.345999999999997
10,2023,34.236259365994236
11,2023,24.247708333333335
11,2024,24.247708333333335
11,2025,24.247708333333335
11,2026,24.247708333333335
14,2023,10.186
15,2023,18.549285256410254
16,2023,14.762981329379889
22,2023,11.173546557971013
22,2024,11.173546557971013
22,2025,11.173546557971013
22,2026,11.173546557971013
23,2023,21.734
23,2024,21.734
23,2025,21.734
23,2026,21.734
30,2023,9.253
30,2024,9.253
30,2025,9.253
30,2026,9.253
38,2023,40.714
40,2023,34.236259365994236
41,2023,10.875526850867871
50,2023,66.0
50,2024,66.0
51,2023,2.428
51,2024,2.428
57,2023,34.236259365994236
57,2024,34.236259365994236
57,2025,34.236259365994236
57,2026,34.236259365994236
60,2023,7.933
60,2024,7.933
60,2025,7.933
60,2026,7.933
70,2023,34.236259365994236
100,2023,26.21910563380282
100,2024,26.21910563380282
100,2025,26.21910563380282
100,2026,26.21910563380282
110,2023,25.766
110,2024,25.766
110,2025,25.766
110,2026,25.766
112,2023,21.05602365520993
133,2023,28.0
136,2023,34.48
136,2024,34.48
137,2023,46.39999999999999
137,2024,46.39999999999999
142,2023,48.0
142,2024,48.0
142,2025,48.0
142,2026,48.0
147,2023,0.003
147,2024,0.003
147,2025,0.003
147,2026,0.003
153,2023,15.50144544695071
155,2023,12.676051555986767
165,2023,21.635
165,2024,21.635
172,2023,34.236259365994236
174,2023,15.727761598960885
174,2024,15.727761598960885
174,2025,15.727761598960885
174,2026,15.727761598960885
177,2023,28.738
177,2024,28.738
177,2025,28.738
177,2026,28.738
178,2023,2.755
178,2024,2.755
178,2025,2.755
178,2026,2.755
183,2023,34.236259365994236
183,2024,34.236259365994236
184,2023,21.499999999999996
184,2024,21.499999999999996
184,2025,21.499999999999996
184,2026,21.499999999999996
193,2023,31.0
194,2023,31.271258358662614
194,2024,31.271258358662614
194,2025,31.271258358662614
194,2026,31.271258358662614
209,2023,11.274
209,2024,11.274
209,2025,11.274
209,2026,11.274
211,2023,28.0
211,2024,28.0
213,2023,7.868
213,2024,7.868
214,2023,30.012
218,2023,15.727761598960887
220,2023,16.43398732594479
221,2023,2.7140000000000004
221,2024,2.7140000000000004
225,2023,21.162016884754923
226,2023,13.009
226,2024,13.009
228,2023,12.4
228,2024,12.4
250,2023,10.185
250,2024,10.185
250,2025,10.185
250,2026,10.185
254,2023,34.236259365994236
255,2023,34.236259365994236
259,2023,29.029984816619013
262,2023,24.228014073199
263,2023,23.43
263,2024,23.43
274,2023,20.37954238921002
274,2024,20.37954238921002
279,2023,34.236259365994236
279,2024,34.236259365994236
288,2023,31.891303322766994
291,2023,34.236259365994236
291,2024,34.236259365994236
291,2025,34.236259365994236
291,2026,34.236259365994236
293,2023,34.236259365994236
297,2023,23.157867350306457
299,2023,7.518021963761479
310,2023,5.978
310,2024,5.978
317,2023,17.236001553536905
320,2023,10.784
320,2024,10.784
320,2025,10.784
320,2026,10.784
323,2023,18.398
323,2024,18.398
323,2025,18.398
323,2026,18.398
324,2023,33.30441295641931
324,2024,33.30441295641931
325,2023,18.15284990178078
325,2024,18.15284990178078
325,2025,18.15284990178078
325,2026,18.15284990178078
326,2023,1.638
326,2024,1.638
336,2023,23.157867350306457
336,2024,23.157867350306457
336,2025,23.157867350306457
336,2026,23.157867350306457
340,2023,18.346
340,2024,18.346
341,2023,33.158
341,2024,33.158
343,2023,34.8
343,2024,34.8
351,2023,69.98748131313133
351,2024,69.98748131313133
351,2025,69.98748131313133
351,2026,69.98748131313133
353,2023,69.98748131313133
353,2024,69.98748131313133
353,2025,69.98748131313133
353,2026,69.98748131313133
354,2023,34.236259365994236
354,2024,34.236259365994236
355,2023,41.5
355,2024,41.5
357,2023,15.255467482542668
360,2023,27.404
360,2024,27.404
368,2023,15.727761598960885
368,2024,15.727761598960885
368,2025,15.727761598960885
368,2026,15.727761598960885
375,2023,34.236259365994236
375,2024,34.236259365994236
375,2025,34.236259365994236
375,2026,34.236259365994236
379,2023,24.725
379,2024,24.725
379,2025,24.725
379,2026,24.725
386,2023,34.236259365994236
393,2023,22.005
393,2024,22.005
394,2023,12.763999999999998
394,2024,12.763999999999998
394,2025,12.763999999999998
394,2026,12.763999999999998
410,2023,29.173
411,2023,29.044999999999998
411,2024,29.044999999999998
416,2023,16.560544147178444
416,2024,16.560544147178444
420,2023,27.117670270270267
420,2024,27.117670270270267
420,2025,27.117670270270267
420,2026,27.117670270270267
427,2023,20.431197496118013
427,2024,20.431197496118013
433,2023,24.288
433,2024,24.288
447,2023,34.236259365994236
461,2023,1.9929843656465014
463,2023,13.565991488793983
464,2023,24.262004911396968
468,2023,31.271258358662614
468,2024,31.271258358662614
468,2025,31.271258358662614
468,2026,31.271258358662614
469,2023,3.821
469,2024,3.821
471,2023,34.236259365994236
477,2023,34.236259365994236
485,2023,13.033053789653176
487,2023,18.339
487,2024,18.339
487,2025,18.339
487,2026,18.339
492,2023,34.236259365994236
494,2023,34.236259365994236
497,2023,0.003
497,2024,0.003
497,2025,0.003
497,2026,0.003
498,2023,23.157867350306457
498,2024,23.157867350306457
510,2023,34.236259365994236
512,2023,34.236259365994236
516,2023,49.84598323356392
520,2023,0.6
520,2024,0.6
520,2025,0.6
520,2026,0.6
532,2023,16.0
532,2024,16.0
532,2025,16.0
532,2026,16.0
535,2023,38.06100104642858
547,2023,34.359
547,2024,34.359
550,2023,15.727761598960885
550,2024,15.727761598960885
550,2025,15.727761598960885
550,2026,15.727761598960885
559,2023,1.1029958779576194
563,2023,15.727761598960885
563,2024,15.727761598960885
563,2025,15.727761598960885
563,2026,15.727761598960885
572,2023,23.157867350306457
572,2024,23.157867350306457
572,2025,23.157867350306457
572,2026,23.157867350306457
573,2023,10.070456043956042
573,2024,10.070456043956042
573,2025,10.070456043956042
573,2026,10.070456043956042
578,2023,34.236259365994236
586,2023,34.236259365994236
587,2023,24.639
587,2024,24.639
589,2023,20.659
589,2024,20.659
590,2023,8.356213477043992
594,2023,34.236259365994236
597,2023,10.070456043956042
597,2024,10.070456043956042
597,2025,10.070456043956042
597,2026,10.070456043956042
600,2023,33.605
600,2024,33.605
603,2023,34.236259365994236
611,2023,23.0
617,2023,19.73562579102988
621,2023,56.611
621,2024,56.611
621,2025,56.611
621,2026,56.611
636,2023,3.764
636,2024,3.764
637,2023,36.333
646,2023,21.725393866480715
654,2023,11.056536993619064
656,2023,4.351
656,2024,4.351
657,2023,9.7
657,2024,9.7
657,2025,9.7
657,2026,9.7
659,2023,34.236259365994236
660,2023,22.917
660,2024,22.917
673,2023,8.356213477043992
681,2023,11.0
681,2024,11.0
686,2023,23.76201541936147
689,2023,0.017
689,2024,0.017
689,2025,0.017
689,2026,0.017
695,2023,34.236259365994236
699,2023,40.839
699,2024,40.839
701,2023,34.236259365994236
704,2023,7.18797444561947
705,2023,34.236259365994236
708,2023,6.22
708,2024,6.22
709,2023,10.070456043956042
709,2024,10.070456043956042
709,2025,10.070456043956042
709,2026,10.070456043956042
711,2023,19.62395676427409
712,2023,0.017
714,2023,2.28999886948508
716,2023,19.254
716,2024,19.254
724,2023,6.017
724,2024,6.017
724,2025,6.017
724,2026,6.017
735,2023,116.59162666666664
735,2024,116.59162666666664
735,2025,116.59162666666664
735,2026,116.59162666666664
751,2023,19.0
756,2023,38.087
756,2024,38.087
760,2023,24.727
769,2023,0.008
769,2024,0.008
769,2025,0.008
769,2026,0.008
776,2023,34.236259365994236
781,2023,10.875035487098158
788,2023,34.236259365994236
788,2024,34.236259365994236
794,2023,3.5
794,2024,3.5
797,2023,15.727761598960887
797,2024,15.727761598960887
798,2023,13.172791821503917
798,2024,13.172791821503917
798,2025,13.172791821503917
798,2026,13.172791821503917
799,2023,23.76201541936147
801,2023,0.03
801,2024,0.03
801,2025,0.03
801,2026,0.03
812,2023,32.222
812,2024,32.222
814,2023,34.236259365994236
819,2023,16.199999999999996
