location_id,year,pm10_pred
13369,2025,17.870531515713147
13369,2026,17.870531515713147
13375,2023,18.53833568936502
13375,2024,18.53833568936502
13382,2023,89.30156752024513
13382,2024,89.30156752024513
13384,2023,89.30156752024513
13395,2023,29.999999999999996
13395,2024,29.999999999999996
13395,2025,29.999999999999996
13395,2026,29.999999999999996
13406,2023,30.331
13406,2024,30.331
13409,2023,23.84375621414228
13412,2023,89.30156752024513
13417,2023,19.176784143121726
13417,2024,19.176784143121726
13418,2023,38.582815584415584
13426,2023,89.30156752024513
13430,2023,56.99999999999999
13430,2024,56.99999999999999
13435,2023,89.30156752024513
13435,2024,89.30156752024513
13437,2023,24.226
13437,2024,24.226
13437,2025,24.226
13437,2026,24.226
13438,2023,89.30156752024513
13438,2024,89.30156752024513
13438,2025,89.30156752024513
13438,2026,89.30156752024513
13447,2023,140.90999999999997
13447,2024,140.90999999999997
13447,2025,140.90999999999997
13447,2026,140.90999999999997
13450,2023,89.30156752024513
13451,2023,24.43796550847219
13456,2023,13.256999999999998
13456,2024,13.256999999999998
13456,2025,13.256999999999998
13456,2026,13.256999999999998
13457,2023,33.22
13457,2024,33.22
13458,2023,30.808
13458,2024,30.808
13467,2023,10.20405427603054
13473,2023,15.182
13473,2024,15.182
13474,2023,24.956
13474,2024,24.956
13474,2025,24.956
13474,2026,24.956
13478,2023,12.902
13478,2024,12.902
13491,2023,53.584
13491,2024,53.584
13514,2023,89.30156752024513
13518,2023,89.30156752024513
13523,2023,80.634
13523,2024,80.634
13523,2025,80.634
13523,2026,80.634
13525,2023,106.03753771929824
13525,2024,106.03753771929824
13525,2025,106.03753771929824
13525,2026,106.03753771929824
13531,2023,89.30156752024513
13535,2023,128.35459061992285
13536,2023,42.0
13536,2024,42.0
13536,2025,42.0
13536,2026,42.0
13538,2023,19.176784143121726
13538,2024,19.176784143121726
13542,2023,96.32299999999998
13542,2024,96.32299999999998
13555,2023,180.123
13555,2024,180.123
13557,2023,23.003
13557,2024,23.003
13563,2023,19.176784143121726
13563,2024,19.176784143121726
13580,2023,29.834999999999997
13580,2024,29.834999999999997
13580,2025,29.834999999999997
13580,2026,29.834999999999997
13582,2023,42.0
13582,2024,42.0
13582,2025,42.0
13582,2026,42.0
13584,2023,23.457539329237076
13584,2024,23.457539329237076
13590,2023,122.128
13590,2024,122.128
13594,2023,166.986
13594,2024,166.986
13594,2025,166.986
13594,2026,166.986
13599,2023,89.30156752024513
13602,2023,24.005994103785813
13603,2023,89.30156752024513
13605,2023,89.30156752024513
13607,2023,85.0
13623,2023,89.30156752024513
13623,2024,89.30156752024513
13639,2023,14.114
13639,2024,14.114
13639,2025,14.114
13639,2026,14.114
13640,2023,17.483028673679602
13645,2023,30.441999999999997
13645,2024,30.441999999999997
13645,2025,30.441999999999997
13645,2026,30.441999999999997
13655,2023,5.8
13655,2024,5.8
13655,2025,5.8
13655,2026,5.8
13658,2023,89.30156752024513
13661,2023,16.554
13661,2024,16.554
13661,2025,16.554
13661,2026,16.554
13665,2023,115.992
13665,2024,115.992
13667,2023,89.30156752024513
13669,2023,19.15
13669,2024,19.15
13677,2023,19.157
13677,2024,19.157
13677,2025,19.157
13677,2026,19.157
13680,2023,10.881999999999998
13680,2024,10.881999999999998
13680,2025,10.881999999999998
13680,2026,10.881999999999998
13682,2023,56.99999999999999
13682,2024,56.99999999999999
13682,2025,56.99999999999999
13682,2026,56.99999999999999
13686,2023,227.0
13686,2024,227.0
13686,2025,227.0
13686,2026,227.0
13687,2023,284.0
13687,2024,284.0
13694,2023,88.28449503230952
13696,2023,89.30156752024513
13696,2024,89.30156752024513
13701,2023,130.2280300494395
13710,2023,21.146048349891515
13710,2024,21.146048349891515
13710,2025,21.146048349891515
13710,2026,21.146048349891515
13713,2023,50.2
13713,2024,50.2
13714,2023,12.868990270461996
13724,2023,89.30156752024513
13728,2023,16.3199977220475
13731,2023,65.0
13731,2024,65.0
13733,2023,17.052
13739,2023,106.03753771929824
13739,2024,106.03753771929824
13739,2025,106.03753771929824
13739,2026,106.03753771929824
13741,2023,18.480969669798526
13743,2023,69.0
13743,2024,69.0
13743,2025,69.0
13743,2026,69.0
13745,2023,19.176784143121726
13752,2023,89.30156752024513
13756,2023,23.84375621414228
13756,2024,23.84375621414228
13761,2023,58.0
13761,2024,58.0
13762,2023,89.30156752024513
13765,2023,13.267
13765,2024,13.267
13768,2023,168.5152
13768,2024,168.5152
13774,2023,23.955
13774,2024,23.955
13774,2025,23.955
13774,2026,23.955
13782,2023,25.946
13782,2024,25.946
13782,2025,25.946
13782,2026,25.946
13787,2023,29.0
13787,2024,29.0
13787,2025,29.0
13787,2026,29.0
13794,2023,16.87
13794,2024,16.87
13796,2023,17.881
13796,2024,17.881
13797,2023,26.71396000885308
13798,2023,19.176784143121726
13798,2024,19.176784143121726
13798,2025,19.176784143121726
13798,2026,19.176784143121726
13801,2023,15.322023424772643
13813,2023,18.008024889541403
13820,2023,25.649999999999995
13820,2024,25.649999999999995
13820,2025,25.649999999999995
13820,2026,25.649999999999995
13831,2023,9.045
13831,2024,9.045
13837,2023,89.30156752024513
13839,2023,19.469
13839,2024,19.469
13839,2025,19.469
13839,2026,19.469
13842,2023,89.30156752024513
13856,2023,89.30156752024513
13863,2023,8.015
13863,2024,8.015
13868,2023,24.620999999999995
13868,2024,24.620999999999995
13868,2025,24.620999999999995
13868,2026,24.620999999999995
13877,2023,50.357
13877,2024,50.357
13878,2023,165.70221964357057
13882,2023,89.30156752024513
13893,2023,16.08797691096923
13901,2023,16.519
13901,2024,16.519
13901,2025,16.519
13901,2026,16.519
13903,2023,21.266
13903,2024,21.266
13906,2023,19.463
13906,2024,19.463
13907,2023,14.55796576173134
13917,2023,53.546
13917,2024,53.546
13918,2023,96.878
13918,2024,96.878
13919,2023,11.92392705682782
13919,2024,11.92392705682782
13919,2025,11.92392705682782
13919,2026,11.92392705682782
13923,2023,16.29199550813322
13924,2023,89.30156752024513
13926,2023,131.1365066666667
13926,2024,131.1365066666667
13937,2023,77.0
13937,2024,77.0
13941,2023,17.794
13941,2024,17.794
13943,2023,51.0
13943,2024,51.0
13943,2025,51.0
13943,2026,51.0
13944,2023,27.407999999999998
13944,2024,27.407999999999998
13944,2025,27.407999999999998
13944,2026,27.407999999999998
13946,2023,89.30156752024513
13951,2023,8.399999999999999
13951,2024,8.399999999999999
13951,2025,8.399999999999999
13951,2026,8.399999999999999
13956,2023,69.6
13957,2023,89.30156752024513
13971,2023,22.401041576086957
13971,2024,22.401041576086957
13974,2023,89.30156752024513
13974,2024,89.30156752024513
13976,2023,23.84375621414228
13976,2024,23.84375621414228
13984,2023,39.0
13984,2024,39.0
13985,2023,19.431033585716083
13989,2023,89.30156752024513
13989,2024,89.30156752024513
13989,2025,89.30156752024513
13989,2026,89.30156752024513
13993,2023,17.870531515713147
14004,2023,26.558
14004,2024,26.558
14013,2023,16.08797691096923
14013,2024,16.08797691096923
14013,2025,16.08797691096923
14013,2026,16.08797691096923
14014,2023,28.557
14014,2024,28.557
14014,2025,28.557
14014,2026,28.557
14016,2023,10.1
14016,2024,10.1
14016,2025,10.1
14016,2026,10.1
14019,2023,85.0
14038,2023,16.08797691096923
14039,2023,61.914
14039,2024,61.914
14042,2023,30.064
14042,2024,30.064
14042,2025,30.064
14042,2026,30.064
14044,2023,89.30156752024513
14052,2023,89.30156752024513
14052,2024,89.30156752024513
14055,2023,17.092601797752042
14067,2023,24.43796550847219
14085,2023,89.30156752024513
14087,2023,89.30156752024513
14094,2023,30.537
14094,2024,30.537
14095,2023,20.2
14095,2024,20.2
14101,2023,-195.44344372088153
14104,2023,20.784999999999997
14104,2024,20.784999999999997
14104,2025,20.784999999999997
14104,2026,20.784999999999997
14109,2023,13.836610220995748
14110,2023,18.120397934678195
14112,2023,11.98442173780305
14119,2023,17.483028673679602
14122,2023,89.30156752024513
14128,2023,14.414
14128,2024,14.414
14128,2025,14.414
14128,2026,14.414
14131,2023,43.386
14131,2024,43.386
14133,2023,27.282
14138,2023,89.30156752024513
14140,2023,21.271
14140,2024,21.271
14149,2023,9.3
14149,2024,9.3
14149,2025,9.3
14149,2026,9.3
14152,2023,42.0
14152,2024,42.0
14152,2025,42.0
14152,2026,42.0
14153,2023,74.177
14153,2024,74.177
14157,2023,23.84375621414228
14157,2024,23.84375621414228
14157,2025,23.84375621414228
14157,2026,23.84375621414228
14161,2023,122.128
14161,2024,122.128
14164,2023,23.016
14164,2024,23.016
14164,2025,23.016
14164,2026,23.016
14165,2023,31.0
14165,2024,31.0
14165,2025,31.0
14165,2026,31.0
14170,2023,12.932
14170,2024,12.932
14178,2023,22.033021459468763
14179,2023,51.0
14179,2024,51.0
14179,2025,51.0
14179,2026,51.0
14185,2023,14.852
14185,2024,14.852
14185,2025,14.852
14185,2026,14.852
14192,2023,17.870531515713147
14192,2024,17.870531515713147
14193,2023,89.30156752024513
14193,2024,89.30156752024513
14194,2023,95.87299999999999
14194,2024,95.87299999999999
14194,2025,95.87299999999999
14194,2026,95.87299999999999
14197,2023,78.2
14197,2024,78.2
14199,2023,26.161
14199,2024,26.161
14200,2023,44.99999999999999
14200,2024,44.99999999999999
14200,2025,44.99999999999999
14200,2026,44.99999999999999
14201,2023,6.747033855112457
14203,2023,89.30156752024513
14210,2023,23.264029198235146
14216,2023,18.53833568936502
14238,2023,77.0
14238,2024,77.0
14243,2023,89.30156752024513
14253,2023,21.529
14253,2024,21.529
14263,2023,27.672
14263,2024,27.672
14265,2023,89.30156752024513
14269,2023,33.384
14269,2024,33.384
14269,2025,33.384
14269,2026,33.384
14270,2023,19.176784143121726
14281,2023,89.30156752024513
14294,2023,89.30156752024513
14295,2023,89.30156752024513
14300,2023,18.699
14300,2024,18.699
14300,2025,18.699
14300,2026,18.699
14305,2023,89.30156752024513
14308,2023,18.35996563129628
14310,2023,18.120397934678195
14311,2023,255.2
14311,2024,255.2
14317,2023,13.604905430107527
14321,2023,36.189
14321,2024,36.189
14328,2023,38.518984112180725
14331,2023,89.30156752024513
14338,2023,46.0
14338,2024,46.0
14339,2023,23.84375621414228
14340,2023,24.626
14340,2024,24.626
14341,2023,89.30156752024513
14358,2023,32.998
14358,2024,32.998
14363,2023,26.162
14363,2024,26.162
14365,2023,89.30156752024513
14368,2023,89.30156752024513
14371,2023,17.578
14371,2024,17.578
14374,2023,8.099999999999998
14374,2024,8.099999999999998
14374,2025,8.099999999999998
14374,2026,8.099999999999998
14376,2023,89.30156752024513
14387,2023,11.98442173780305
14396,2023,99.49427089825514
14400,2023,46.5787686972687
14400,2024,46.5787686972687
14408,2023,12.455
14408,2024,12.455
14412,2023,89.30156752024513
14427,2023,19.567
14427,2024,19.567
14427,2025,19.567
14427,2026,19.567
14428,2023,20.146988247084614
14437,2023,15.845987105208842
14438,2023,40.118
14438,2024,40.118
14439,2023,17.870531515713147
14439,2024,17.870531515713147
14439,2025,17.870531515713147
14439,2026,17.870531515713147
14441,2023,89.30156752024513
14441,2024,89.30156752024513
14451,2023,14.715
14451,2024,14.715
14458,2023,25.316999999999997
14458,2024,25.316999999999997
14458,2025,25.316999999999997
14458,2026,25.316999999999997
14461,2023,106.03753771929824
14461,2024,106.03753771929824
14461,2025,106.03753771929824
14461,2026,106.03753771929824
14463,2023,84.77678571428571
14463,2024,84.77678571428571
14463,2025,84.77678571428571
14463,2026,84.77678571428571
14466,2023,16.08797691096923
14466,2024,16.08797691096923
14466,2025,16.08797691096923
14466,2026,16.08797691096923
14467,2023,89.30156752024513
14467,2024,89.30156752024513
14467,2025,89.30156752024513
14467,2026,89.30156752024513
14470,2023,97.63794156558112
14471,2023,17.784
14471,2024,17.784
14482,2023,89.30156752024513
14491,2023,29.231
14491,2024,29.231
14493,2023,16.08797691096923
14499,2023,77.0
14499,2024,77.0
14501,2023,21.611999999999995
14501,2024,21.611999999999995
14501,2025,21.611999999999995
14501,2026,21.611999999999995
14503,2023,99.0
14504,2023,89.30156752024513
14512,2023,89.30156752024513
14515,2023,89.30156752024513
14515,2024,89.30156752024513
14517,2023,18.946973634214995
14524,2023,18.53833568936502
14533,2023,13.8
14533,2024,13.8
14533,2025,13.8
14533,2026,13.8
14554,2023,-63.59074529092321
14562,2023,30.39002053433508
14567,2023,23.084
14567,2024,23.084
14567,2025,23.084
14567,2026,23.084
14570,2023,130.093
14570,2024,130.093
14573,2023,18.92388230005256
14577,2023,89.30156752024513
14589,2023,12.336
14589,2024,12.336
14589,2025,12.336
14589,2026,12.336
14590,2023,17.870531515713147
14592,2023,21.459
14592,2024,21.459
14593,2023,11.185
14593,2024,11.185
14593,2025,11.185
14593,2026,11.185
14599,2023,19.176784143121726
14599,2024,19.176784143121726
14599,2025,19.176784143121726
14599,2026,19.176784143121726
14600,2023,32.234
14600,2024,32.234
14600,2025,32.234
14600,2026,32.234
14609,2023,23.84375621414228
14609,2024,23.84375621414228
14611,2023,30.94400089504017
14614,2023,18.120397934678195
14616,2023,24.18
14616,2024,24.18
14616,2025,24.18
14616,2026,24.18
14618,2023,249.0
14618,2024,249.0
14622,2023,16.08797691096923
14622,2024,16.08797691096923
14624,2023,26.493
14624,2024,26.493
14626,2023,23.84375621414228
14626,2024,23.84375621414228
14626,2025,23.84375621414228
14626,2026,23.84375621414228
14630,2023,89.30156752024513
14635,2023,24.310974369138282
14637,2023,19.176784143121726
14637,2024,19.176784143121726
14638,2023,19.176784143121726
14638,2024,19.176784143121726
14638,2025,19.176784143121726
14638,2026,19.176784143121726
14641,2023,89.30156752024513
14644,2023,27.0
14644,2024,27.0
14644,2025,27.0
14644,2026,27.0
14658,2023,20.481016298608157
14665,2023,89.30156752024513
14677,2023,11.648
14677,2024,11.648
14677,2025,11.648
14677,2026,11.648
14683,2023,25.14900301073343
14684,2023,19.176784143121726
14684,2024,19.176784143121726
14687,2023,21.885
14692,2023,89.30156752024513
14698,2023,30.94400089504017
14705,2023,106.03753771929824
14705,2024,106.03753771929824
14705,2025,106.03753771929824
14705,2026,106.03753771929824
14715,2023,27.509999999999998
14715,2024,27.509999999999998
14715,2025,27.509999999999998
14715,2026,27.509999999999998
14718,2023,182.333
14718,2024,182.333
14718,2025,182.333
14718,2026,182.333
14719,2023,14.349
14734,2023,20.828
14734,2024,20.828
14734,2025,20.828
14734,2026,20.828
14742,2023,21.19105208821678
14749,2023,14.436990101401038
14753,2023,11.432
14753,2024,11.432
14753,2025,11.432
14753,2026,11.432
14754,2023,106.03753771929824
14754,2024,106.03753771929824
14754,2025,106.03753771929824
14754,2026,106.03753771929824
14760,2023,80.0
14762,2023,89.30156752024513
14765,2023,46.661
14765,2024,46.661
14767,2023,19.381
14767,2024,19.381
14770,2023,11.957
14770,2024,11.957
14770,2025,11.957
14770,2026,11.957
14775,2023,18.161976338675434
14779,2023,89.30156752024513
14783,2023,93.0
14784,2023,65.5
14784,2024,65.5
14788,2023,15.934000479552283
14793,2023,12.869
14793,2024,12.869
14796,2023,18.53833568936502
14796,2024,18.53833568936502
14805,2023,23.84375621414228
14805,2024,23.84375621414228
14805,2025,23.84375621414228
14805,2026,23.84375621414228
14809,2023,42.604
14809,2024,42.604
14827,2023,48.0
14827,2024,48.0
14827,2025,48.0
14827,2026,48.0
14829,2023,24.058995044987523
14837,2023,19.176784143121726
14837,2024,19.176784143121726
14839,2023,32.44
14839,2024,32.44
14844,2023,17.870531515713147
14846,2023,15.007302638304
14850,2023,38.58281558441558
14850,2024,38.58281558441558
14850,2025,38.58281558441558
14850,2026,38.58281558441558
14864,2023,89.30156752024513
14869,2023,19.7
14869,2024,19.7
14869,2025,19.7
14869,2026,19.7
14870,2023,89.30156752024513
14874,2023,89.30156752024513
14876,2023,13.918002583481314
14877,2023,14.775
14881,2023,106.03753771929824
14881,2024,106.03753771929824
14881,2025,106.03753771929824
14881,2026,106.03753771929824
14887,2023,13.604905430107527
14888,2023,22.89200740218913
14892,2023,37.99999999999999
14892,2024,37.99999999999999
14892,2025,37.99999999999999
14892,2026,37.99999999999999
14893,2023,20.209
14893,2024,20.209
14932,2023,17.870531515713147
14932,2024,17.870531515713147
14932,2025,17.870531515713147
14932,2026,17.870531515713147
14935,2023,15.273
14935,2024,15.273
14938,2023,214.39
14938,2024,214.39
14939,2023,89.30156752024513
14940,2023,89.30156752024513
14942,2023,18.53833568936502
14942,2024,18.53833568936502
14947,2023,30.27860606060606
14947,2024,30.27860606060606
14947,2025,30.27860606060606
14947,2026,30.27860606060606
14950,2023,46.0
14950,2024,46.0
14950,2025,46.0
14950,2026,46.0
14953,2023,9.257483955518374
14963,2023,18.58993021003148
14966,2023,89.30156752024513
14968,2023,89.30156752024513
14971,2023,43.5
14972,2023,21.146048349891515
